iter	Passed	Remaining
955	5254	241
956	5257	236
957	5260	230
958	5262	224
959	5264	219
960	5267	213
961	5269	208
962	5272	202
963	5275	197
964	5279	191
965	5284	185
966	5286	180
967	5289	174
968	5293	169
969	5300	163
970	5303	158
971	5307	152
972	5315	147
973	5319	141
974	5329	136
975	5331	131
976	5333	125
977	5336	120
978	5338	114
979	5341	109
980	5343	103
981	5346	97
982	5357	92
983	5359	87
984	5361	81
985	5363	76
986	5398	71
987	5401	65
988	5404	60
989	5407	54
990	5427	49
991	5430	43
992	5432	38
993	5434	32
994	5442	27
995	5444	21
996	5447	16
997	5449	10
998	5451	5
999	5455	0
